1940;32545;353505.0;2151736.0
1950;28486;646798.0;5471992.0
1960;48940;990228.0;9983188.0
1970;50040;1005785.0;10779969.0
1980;49563;1393226.5;15047947.9
1990;47733;421496.4;6427435.6
2000;59543;471192.4;6906082.3
2001;70332;542335.9;7661353.3
2002;69749;591338.4;8785382.0
2003;80971;702307.4;10240828.2
2004;89066;685881.3;9610589.5
2005;95498;669401.8;8811524.9
2006;102268;633524.1;8379823.3
2007;108791;665682.7;9050021.0
2008;123336;760439.3;9729802.8
2009;127596;716553.1;8042232.1
2010;121738;653843.7;7888957.9
2011;122915;612506.3;7009466.1
2012;116888;540466.3;6186157.5
2013;120512;541747.1;6388250.0
2014;112126;485499.4;5324960.1
2015;112647;459423.9;4904678.0
2016;117076;446274.4;4707096.5
2017;117359;471459.8;5388496.4
2018;116915;432336.1;4873487.2
2019;115171;435136.9;5211712.3
